ID,Nombre
368,Demanda programada P48 Consumo de Servicios Auxiliares
369,Demanda programada P48 Corrección eólica
370,Demanda programada P48 Corrección solar
371,Demanda programada P48 Corrección REE
372,Demanda programada PHF1 Comercializadores mercado libre
373,Demanda programada PHF1 Comercializadores de referencia
374,Demanda programada PHF1 Consumos directos en mercado
375,Demanda programada PHF1 Consumo de Servicios Auxiliares
376,Demanda programada PHF1 Corrección eólica
377,Demanda programada PHF1 Corrección solar
378,Demanda programada PHF1 Corrección REE
379,Demanda programada PHF2 Comercializadores mercado libre
380,Demanda programada PHF2 Comercializadores de referencia
381,Demanda programada PHF2 Consumos directos en mercado
382,Demanda programada PHF2 Consumo de Servicios Auxiliares
383,Demanda programada PHF2 Corrección eólica
384,Demanda programada PHF2 Corrección solar
385,Demanda programada PHF2 Corrección REE
386,Demanda programada PHF3 Comercializadores mercado libre
387,Demanda programada PHF3 Comercializadores de referencia
388,Demanda programada PHF3 Consumos directos en mercado
389,Demanda programada PHF3 Consumo de Servicios Auxiliares
390,Demanda programada PHF3 Corrección eólica
391,Demanda programada PHF3 Corrección solar
392,Demanda programada PHF3 Corrección REE
393,Demanda programada PHF4 Comercializadores mercado libre
394,Demanda programada PHF4 Comercializadores de referencia
395,Demanda programada PHF4 Consumos directos en mercado
396,Demanda programada PHF4 Consumo de Servicios Auxiliares
397,Demanda programada PHF4 Corrección eólica
398,Demanda programada PHF4 Corrección solar
399,Demanda programada PHF4 Corrección REE
400,Demanda programada PHF5 Comercializadores mercado libre
401,Demanda programada PHF5 Comercializadores de referencia
402,Demanda programada PHF5 Consumos directos en mercado
403,Demanda programada PHF5 Consumo de Servicios Auxiliares
404,Demanda programada PHF5 Corrección eólica
405,Demanda programada PHF5 Corrección solar
406,Demanda programada PHF5 Corrección REE
407,Demanda programada PHF6 Comercializadores mercado libre
408,Demanda programada PHF6 Comercializadores de referencia
409,Demanda programada PHF6 Consumos directos en mercado
410,Demanda programada PHF6 Consumo de Servicios Auxiliares
411,Demanda programada PHF6 Corrección eólica
